	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
17	G	C	G	G	L	B	B	C	L	L	C	A	A	B	B	C	C	A	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
18	G	B	A	B	L	B	C	C	A	L	A	A	B	B	C	C	A	A	G	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
19	G	C	G	G	L	L	C	A	A	L	A	B	B	C	C	A	A	B	B	C	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
20	G	B	A	B	C	L	A	A	A	L	L	B	C	C	A	A	B	B	C	C	A	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
21	G	C	G	L	C	L	A	A	A	G	L	L	C	A	A	B	B	C	C	A	A	G	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
22	G	B	A	L	C	L	A	A	B	B	C	L	A	A	B	B	C	C	A	A	B	B	C	L	L	L	L	L	L	L	L	L	L	L	L	L	L	
23	G	C	G	L	C	L	A	B	B	C	C	L	A	B	B	C	C	A	A	B	B	C	C	A	L	L	L	L	L	L	L	L	L	L	L	L	L	
24	G	B	A	L	C	L	L	B	C	C	C	L	L	B	C	C	A	A	B	B	C	C	A	A	G	L	L	L	L	L	L	L	L	L	L	L	L	
25	G	C	G	L	C	A	L	L	C	C	C	A	L	L	C	A	A	B	B	C	C	A	A	B	B	C	L	L	L	L	L	L	L	L	L	L	L	
26	G	B	A	L	A	A	G	L	C	C	A	A	G	L	A	A	B	B	C	C	A	A	B	B	C	C	A	L	L	L	L	L	L	L	L	L	L	
27	G	C	G	L	A	B	B	L	C	A	A	B	B	L	A	B	B	C	C	A	A	B	B	C	C	A	A	G	L	L	L	L	L	L	L	L	L	
28	G	B	A	L	L	B	G	L	A	A	B	B	G	L	L	B	C	C	A	A	B	B	C	C	A	A	B	B	C	L	L	L	L	L	L	L	L	
29	G	C	G	G	L	B	B	L	A	B	B	B	B	C	L	L	C	A	A	B	B	C	C	A	A	B	B	C	C	A	L	L	L	L	L	L	L	
30	G	B	A	B	L	B	G	L	L	B	B	B	C	C	A	L	A	A	B	B	C	C	A	A	B	B	C	C	A	A	G	L	L	L	L	L	L	
31	G	C	G	G	L	B	B	C	L	B	B	C	C	A	A	L	A	B	B	C	C	A	A	B	B	C	C	A	A	B	B	C	L	L	L	L	L	
32	G	B	A	B	L	B	C	C	L	B	C	C	A	A	A	L	L	B	C	C	A	A	B	B	C	C	A	A	B	B	C	C	A	L	L	L	L	
33	G	C	G	G	L	L	C	C	L	L	C	A	A	A	A	G	L	L	C	A	A	B	B	C	C	A	A	B	B	C	C	A	A	G	L	L	L	
34	G	B	A	B	C	L	C	C	A	L	A	A	A	A	B	B	C	L	A	A	B	B	C	C	A	A	B	B	C	C	A	A	B	B	C	L	L	
35	G	C	G	L	C	L	C	A	A	L	A	A	A	B	B	C	C	L	A	B	B	C	C	A	A	B	B	C	C	A	A	B	B	C	C	A	L	
36	G	B	A	L	C	L	A	A	A	L	A	A	B	B	C	C	C	L	L	B	C	C	A	A	B	B	C	C	A	A	B	B	C	C	A	A	C	
37	G	C	G	L	C	L	A	A	A	L	A	B	B	C	C	C	C	A	L	L	C	A	A	B	B	C	C	A	A	B	B	C	C	A	A	C	B	
38	G	B	A	L	C	L	A	A	A	L	L	B	C	C	C	C	A	A	G	L	A	A	B	B	C	C	A	A	B	B	C	C	A	A	C	B	L	
39	G	C	G	L	C	L	A	A	A	G	L	L	C	C	C	A	A	B	B	L	A	B	B	C	C	A	A	B	B	C	C	A	A	C	B	L	L	
40	G	B	A	L	C	L	A	A	B	B	C	L	C	C	A	A	B	B	G	L	L	B	C	C	A	A	B	B	C	C	A	A	C	B	L	L	L	
41	G	C	G	L	C	L	A	B	B	C	C	L	C	A	A	B	B	B	B	C	L	L	C	A	A	B	B	C	C	A	A	C	B	L	L	L	L	
42	G	B	A	L	C	L	L	B	C	C	C	L	A	A	B	B	B	B	C	C	A	L	A	A	B	B	C	C	A	A	C	B	L	L	L	L	L	
43	G	C	G	L	C	A	L	L	C	C	C	L	A	B	B	B	B	C	C	A	A	L	A	B	B	C	C	A	A	C	B	L	L	L	L	L	L	
44	G	B	A	L	A	A	G	L	C	C	C	L	L	B	B	B	C	C	A	A	A	L	L	B	C	C	A	A	C	B	L	L	L	L	L	L	L	
45	G	C	G	L	A	B	B	L	C	C	C	A	L	B	B	C	C	A	A	A	A	G	L	L	C	A	A	C	B	L	L	L	L	L	L	L	L	
46	G	B	A	L	L	B	G	L	C	C	A	A	L	B	C	C	A	A	A	A	B	B	C	L	A	A	C	B	L	L	L	L	L	L	L	L	L	
47	G	C	G	G	L	B	B	L	C	A	A	A	L	L	C	A	A	A	A	B	B	C	C	L	A	C	B	L	L	L	L	L	L	L	L	L	L	
48	G	B	A	B	L	B	G	L	A	A	A	A	G	L	A	A	A	A	B	B	C	C	C	L	G	B	L	L	L	L	L	L	L	L	L	L	L	
49	G	C	G	G	L	B	B	L	A	A	A	B	B	L	A	A	A	B	B	C	C	C	C	G	G	C	L	L	L	L	L	L	L	L	L	L	L	
50	G	B	A	B	L	B	G	L	A	A	B	B	G	L	A	A	B	B	C	C	C	C	B	A	G	B	A	L	L	L	L	L	L	L	L	L	L	
51	G	C	G	G	L	B	B	L	A	B	B	B	B	L	A	B	B	C	C	C	C	B	A	C	G	C	G	G	L	L	L	L	L	L	L	L	L	
52	G	B	A	B	L	B	G	L	L	B	B	B	G	L	L	B	C	C	C	C	B	A	C	B	G	B	A	B	C	L	L	L	L	L	L	L	L	
53	G	C	G	G	L	B	B	C	L	B	B	B	B	C	L	L	C	C	C	B	A	C	B	L	G	C	G	L	C	A	L	L	L	L	L	L	L	
54	G	B	A	B	L	B	C	C	L	B	B	B	C	C	A	L	C	C	B	A	C	B	L	L	G	B	A	L	A	A	G	L	L	L	L	L	L	
55	G	C	G	G	L	L	C	C	L	B	B	C	C	A	A	L	C	B	A	C	B	L	L	L	G	C	G	L	A	B	B	C	L	L	L	L	L	
56	G	B	A	B	C	L	C	C	L	B	C	C	A	A	A	L	G	A	C	B	L	L	L	L	G	B	A	L	L	B	C	C	A	L	L	L	L	
57	G	C	G	L	C	L	C	C	L	L	C	A	A	A	A	C	G	C	B	L	L	L	L	L	G	C	G	G	L	L	C	A	A	G	L	L	L	
58	G	B	A	L	C	L	C	C	A	L	A	A	A	A	C	B	G	B	L	L	L	L	L	L	G	B	A	B	C	L	A	A	B	B	C	L	L	
59	G	C	G	L	C	L	C	A	A	L	A	A	A	C	B	L	G	C	L	L	L	L	L	L	G	C	G	L	C	L	A	B	B	C	C	A	L	
60	G	B	A	L	C	L	A	A	A	L	A	A	C	B	L	L	G	B	A	L	L	L	L	L	G	B	A	L	C	L	L	B	C	C	A	A	C	
61	G	C	G	L	C	L	A	A	A	L	A	C	B	L	L	L	G	C	G	G	L	L	L	L	G	C	G	L	C	A	L	L	C	A	A	C	B	
62	G	B	A	L	C	L	A	A	A	L	G	B	L	L	L	L	G	B	A	B	C	L	L	L	G	B	A	L	A	A	G	L	A	A	C	B	L	
63	G	C	G	L	C	L	A	A	A	C	G	C	L	L	L	L	G	C	G	L	C	A	L	L	G	C	G	L	A	B	B	L	A	C	B	L	L	
64	G	B	A	L	C	L	A	A	C	B	G	B	A	L	L	L	G	B	A	L	A	A	G	L	G	B	A	L	L	B	G	L	G	B	L	L	L	
65	G	C	G	L	C	L	A	C	B	L	G	C	G	G	L	L	G	C	G	L	A	B	B	A	G	C	G	G	L	B	B	A	G	C	L	L	L	
66	G	B	A	L	C	L	G	B	L	L	G	B	A	B	C	L	G	B	A	L	L	B	A	C	G	B	A	B	L	B	A	C	G	B	A	L	L	
67	G	C	G	L	C	G	G	C	L	L	G	C	G	L	C	G	G	C	G	G	L	G	C	B	G	C	G	G	L	G	C	B	G	C	G	G	L	
68	G	B	A	L	G	A	G	B	A	L	G	B	A	L	G	A	G	B	A	B	A	G	B	L	G	B	A	B	A	G	B	L	G	B	A	B	A	
69	G	C	G	C	G	C	G	C	G	C	G	C	G	C	G	C	G	C	G	B	C	G	C	L	G	C	G	B	C	G	C	L	G	C	G	B	C	
70	G	B	G	B	G	B	G	B	G	B	G	B	G	B	G	B	G	B	G	B	G	G	B	G	G	B	G	B	G	G	B	G	G	B	G	B	G	
71	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	G	
72	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	
